sample,elapsed_s,system_unix,rtc_unix,drift_s
0,60.0,1782127485.016,1782127485.0,0.016019
1,120.0,1782127545.0183,1782127545.0,0.018349
2,179.98,1782127604.9972,1782127605.0,-0.002787
3,239.98,1782127664.9992,1782127665.0,-0.000767
4,299.99,1782127725.0023,1782127725.0,0.002252
5,359.99,1782127785.0048,1782127785.0,0.004821
6,419.99,1782127845.0064,1782127845.0,0.00643
7,479.99,1782127905.0089,1782127905.0,0.008898
8,540.0,1782127965.0125,1782127965.0,0.012519
9,600.0,1782128025.0137,1782128025.0,0.013738
10,660.0,1782128085.0171,1782128085.0,0.017148
11,720.01,1782128145.0198,1782128145.0,0.019763
12,780.01,1782128205.022,1782128205.0,0.022007
13,839.98,1782128264.9975,1782128265.0,-0.002547
14,899.99,1782128325.0004,1782128325.0,0.000359
15,959.99,1782128385.0024,1782128385.0,0.002388
16,1019.99,1782128445.0054,1782128445.0,0.005385
17,1079.99,1782128505.008,1782128505.0,0.007973
18,1140.0,1782128565.0107,1782128565.0,0.010692
19,1200.0,1782128625.0132,1782128625.0,0.013187
20,1260.0,1782128685.0154,1782128685.0,0.015444
21,1320.0,1782128745.0173,1782128745.0,0.017305
22,1380.01,1782128805.0207,1782128805.0,0.020742
23,1440.01,1782128865.0227,1782128865.0,0.022737
24,1499.98,1782128924.9977,1782128925.0,-0.002329
25,1559.99,1782128985.0002,1782128985.0,0.000231
26,1619.99,1782129045.0026,1782129045.0,0.002573
27,1679.99,1782129105.0053,1782129105.0,0.005328
28,1739.99,1782129165.0078,1782129165.0,0.007793
29,1800.0,1782129225.0112,1782129225.0,0.011216
30,1860.0,1782129285.0136,1782129285.0,0.013649
31,1920.0,1782129345.0158,1782129345.0,0.015814
32,1980.0,1782129405.018,1782129405.0,0.018037
33,2040.01,1782129465.0208,1782129465.0,0.020794
34,2100.01,1782129525.023,1782129525.0,0.022979
35,2159.98,1782129584.9971,1782129585.0,-0.002869
36,2219.99,1782129645.0008,1782129645.0,0.000816
37,2279.99,1782129705.0023,1782129705.0,0.002332
38,2339.99,1782129765.0048,1782129765.0,0.004791
39,2399.99,1782129825.0079,1782129825.0,0.007921
40,2460.0,1782129885.0108,1782129885.0,0.010755
41,2520.0,1782129945.0127,1782129945.0,0.012739
42,2580.0,1782130005.0142,1782130005.0,0.014243
43,2640.0,1782130065.0177,1782130065.0,0.017722
44,2700.0,1782130125.0189,1782130125.0,0.018897
45,2760.01,1782130185.0213,1782130185.0,0.021276
46,2819.98,1782130244.9969,1782130245.0,-0.003126
47,2879.99,1782130305.0001,1782130305.0,6.2e-05
48,2939.99,1782130365.0016,1782130365.0,0.001604
49,2999.99,1782130425.0034,1782130425.0,0.003447
50,3059.99,1782130485.0059,1782130485.0,0.00592
51,3119.99,1782130545.0073,1782130545.0,0.007286
52,3179.99,1782130605.009,1782130605.0,0.008955
53,3240.0,1782130665.0122,1782130665.0,0.012219
54,3300.0,1782130725.0138,1782130725.0,0.013842
55,3360.0,1782130785.0151,1782130785.0,0.015144
56,3420.0,1782130845.0173,1782130845.0,0.017287
57,3479.98,1782130904.9972,1782130905.0,-0.00279
58,3539.98,1782130964.9992,1782130965.0,-0.000803
59,3599.99,1782131025.0017,1782131025.0,0.001745
