sample,elapsed_s,system_unix,rtc_unix,drift_s
0,60.0,1782199056.0751,1782199056.0,0.07511
1,120.0,1782199116.0717,1782199116.0,0.07173
2,180.0,1782199176.0769,1782199176.0,0.076888
3,240.01,1782199236.0784,1782199236.0,0.078357
4,300.01,1782199296.0793,1782199296.0,0.079267
5,360.01,1782199356.0808,1782199356.0,0.080779
6,420.01,1782199416.0812,1782199416.0,0.081185
7,479.92,1782199475.9966,1782199476.0,-0.0034
8,539.92,1782199535.9979,1782199536.0,-0.002122
9,599.93,1782199595.9983,1782199596.0,-0.001652
10,659.93,1782199655.999,1782199656.0,-0.001018
11,719.93,1782199716.0003,1782199716.0,0.000305
12,779.93,1782199776.0023,1782199776.0,0.002336
13,839.93,1782199836.0034,1782199836.0,0.003445
14,899.93,1782199896.0037,1782199896.0,0.003727
15,959.93,1782199956.005,1782199956.0,0.005032
16,1019.93,1782200016.0074,1782200016.0,0.007424
17,1079.93,1782200076.0076,1782200076.0,0.007574
18,1139.92,1782200135.9959,1782200136.0,-0.004076
19,1199.93,1782200195.9986,1782200196.0,-0.001403
20,1259.93,1782200255.9993,1782200256.0,-0.000695
21,1319.93,1782200316.0001,1782200316.0,7.6e-05
22,1379.93,1782200376.0016,1782200376.0,0.001594
23,1439.93,1782200436.0038,1782200436.0,0.00377
24,1499.93,1782200496.0047,1782200496.0,0.004731
25,1559.93,1782200556.0062,1782200556.0,0.006248
26,1619.93,1782200616.0078,1782200616.0,0.007765
27,1679.93,1782200676.0082,1782200676.0,0.008248
28,1739.94,1782200736.0091,1782200736.0,0.009071
29,1799.92,1782200795.9959,1782200796.0,-0.004077
30,1859.92,1782200855.9975,1782200856.0,-0.002507
31,1919.93,1782200915.999,1782200916.0,-0.001021
32,1979.93,1782200976.0016,1782200976.0,0.001594
33,2039.93,1782201036.0021,1782201036.0,0.002059
34,2099.93,1782201096.0037,1782201096.0,0.003676
35,2159.93,1782201156.0047,1782201156.0,0.004719
36,2219.93,1782201216.0071,1782201216.0,0.007102
37,2279.93,1782201276.0082,1782201276.0,0.008188
38,2339.94,1782201336.0097,1782201336.0,0.009673
39,2399.94,1782201396.0112,1782201396.0,0.011194
40,2459.92,1782201455.997,1782201456.0,-0.002969
41,2519.92,1782201515.9948,1782201516.0,-0.005246
42,2579.93,1782201575.9986,1782201576.0,-0.001392
43,2639.93,1782201636.0006,1782201636.0,0.000621
44,2699.93,1782201696.0016,1782201696.0,0.001563
45,2759.93,1782201756.0037,1782201756.0,0.003733
46,2819.93,1782201816.0051,1782201816.0,0.00511
47,2879.93,1782201876.0062,1782201876.0,0.006223
48,2939.93,1782201936.0066,1782201936.0,0.006643
49,2999.94,1782201996.0092,1782201996.0,0.009181
50,3059.94,1782202056.0097,1782202056.0,0.009674
51,3119.92,1782202115.997,1782202116.0,-0.00301
52,3179.92,1782202175.9975,1782202176.0,-0.002455
53,3239.93,1782202235.9987,1782202236.0,-0.001325
54,3299.93,1782202296.0006,1782202296.0,0.000631
55,3359.93,1782202356.0017,1782202356.0,0.001671
56,3419.93,1782202416.0036,1782202416.0,0.003621
57,3479.93,1782202476.0047,1782202476.0,0.004693
58,3539.93,1782202536.0053,1782202536.0,0.005253
59,3599.93,1782202596.0067,1782202596.0,0.00673
60,3659.93,1782202656.0083,1782202656.0,0.008279
61,3719.94,1782202716.0092,1782202716.0,0.009225
62,3779.92,1782202775.9962,1782202776.0,-0.003829
63,3839.92,1782202835.9978,1782202836.0,-0.002245
64,3899.93,1782202895.9993,1782202896.0,-0.000691
65,3959.93,1782202956.0007,1782202956.0,0.000662
66,4019.93,1782203016.0016,1782203016.0,0.001644
67,4079.93,1782203076.0041,1782203076.0,0.004055
68,4139.93,1782203136.0051,1782203136.0,0.005085
69,4199.93,1782203196.0066,1782203196.0,0.006621
70,4259.93,1782203256.008,1782203256.0,0.008021
71,4319.94,1782203316.0092,1782203316.0,0.009172
72,4379.94,1782203376.0111,1782203376.0,0.011075
73,4439.92,1782203435.9975,1782203436.0,-0.002488
74,4499.93,1782203495.9984,1782203496.0,-0.00158
75,4559.93,1782203555.9994,1782203556.0,-0.000561
76,4619.93,1782203616.0006,1782203616.0,0.00055
77,4679.93,1782203676.0022,1782203676.0,0.002193
78,4739.93,1782203736.0034,1782203736.0,0.003361
79,4799.93,1782203796.0046,1782203796.0,0.004587
80,4859.93,1782203856.0068,1782203856.0,0.00677
81,4919.93,1782203916.0082,1782203916.0,0.008206
82,4979.94,1782203976.0092,1782203976.0,0.009155
83,5039.94,1782204036.0101,1782204036.0,0.01007
84,5099.92,1782204095.9961,1782204096.0,-0.003869
85,5159.92,1782204155.9975,1782204156.0,-0.002491
86,5219.93,1782204215.999,1782204216.0,-0.000961
87,5279.93,1782204276.0016,1782204276.0,0.00159
88,5339.93,1782204336.0031,1782204336.0,0.003082
89,5399.93,1782204396.003,1782204396.0,0.003033
90,5459.93,1782204456.005,1782204456.0,0.004979
91,5519.93,1782204516.006,1782204516.0,0.006
92,5579.93,1782204576.0081,1782204576.0,0.008115
93,5639.94,1782204636.0091,1782204636.0,0.009105
94,5699.94,1782204696.0104,1782204696.0,0.010443
95,5759.92,1782204755.9971,1782204756.0,-0.002909
96,5819.93,1782204815.9991,1782204816.0,-0.000885
97,5879.93,1782204875.9991,1782204876.0,-0.000873
98,5939.93,1782204936.0017,1782204936.0,0.001679
99,5999.93,1782204996.0031,1782204996.0,0.003076
100,6059.93,1782205056.0036,1782205056.0,0.003614
101,6119.93,1782205116.0052,1782205116.0,0.005162
102,6179.93,1782205176.0067,1782205176.0,0.00668
103,6239.94,1782205236.0086,1782205236.0,0.008602
104,6299.94,1782205296.0106,1782205296.0,0.010604
105,6359.94,1782205356.0112,1782205356.0,0.011167
106,6419.92,1782205415.9972,1782205416.0,-0.002835
